size,op,blocks,save_ms,assemble_ms,files_written,files_unchanged,latex_ms,pdf_ms
small,text,11,2.1167080267332494,1.2834160006605089,13,0,935.4236249928363,0.5629590013995767
small,text,11,2.2784160100854933,0.6190409767441452,1,12,820.8997080218978,0.25620899396017194
small,text,11,2.0591660286299884,0.58712501777336,1,12,802.108958014287,0.23616699036210775
small,text,11,2.087457978632301,0.5882499972358346,1,12,803.8064999855123,0.2436659997329116
small,text,11,2.343666972592473,0.6356249796226621,1,12,810.6349590234458,0.23954198695719242
small,text,11,2.1624999935738742,0.6160000339150429,1,12,816.7341660009697,0.23700000019744039
small,text,11,2.079791040159762,0.5889590247534215,1,12,829.9542089807801,0.2145000034943223
small,text,11,2.069749985821545,0.5785830435343087,1,12,819.8490420472808,0.2204999909736216
small,text,11,2.0868339925073087,0.5748329567722976,1,12,811.053958022967,0.23558305110782385
small,text,11,2.2883330238983035,0.6093329866416752,1,12,812.257707992103,0.2215420245192945
medium,text,51,6.473208020906895,5.230457987636328,53,0,1908.485916967038,0.4617079976014793
medium,text,51,5.745417030993849,2.331750001758337,1,52,1045.4240000108257,0.3183330409228802
medium,text,51,5.986957985442132,2.355041040573269,1,52,1049.1134169860743,0.2892920165322721
medium,text,51,5.790124996565282,2.379499957896769,1,52,1058.9440839830786,0.2692500129342079
medium,text,51,5.733833007980138,2.7977499994449317,1,52,1072.325292043388,0.27308298740535975
medium,text,51,5.749042029492557,2.32674996368587,1,52,1043.1694579892792,0.2616660203784704
medium,text,51,5.727083014789969,2.337000041734427,1,52,1049.1694579832256,0.28974999440833926
medium,text,51,5.78758300980553,3.313958994112909,1,52,1053.762125025969,0.2697079908102751
medium,text,51,5.759249965194613,2.2783339954912663,1,52,1039.8060419829562,0.2672920236364007
medium,text,51,5.632665997836739,2.725000027567148,1,52,1047.3126669530757,0.27962500462308526
medium,formula,51,5.923999997321516,2.3564580478705466,1,52,1054.3522500083782,0.2726669772528112
medium,formula,51,5.662958021275699,2.2457499871961772,1,52,1058.7006670539267,0.26649999199435115
medium,formula,51,5.687416007276624,2.4347910075448453,1,52,1054.9750000354834,0.28237502556294203
medium,formula,51,5.6827079970389605,2.8155000181868672,1,52,1048.1868750066496,0.27004198636859655
medium,formula,51,5.964583018794656,2.398415992502123,1,52,1214.8191249580123,0.32708299113437533
medium,table,51,5.868125008419156,2.40754202241078,1,52,1067.1925420174375,0.25337503757327795
medium,table,51,6.50483398931101,2.38883396377787,1,52,1075.3948339843191,0.320332997944206
medium,table,51,5.891792010515928,2.3325830115936697,1,52,1090.4813749948516,0.3074590349569917
medium,table,51,6.6650829976424575,2.47466703876853,1,52,1096.3058340130374,0.3054169937968254
medium,table,51,5.935250024776906,2.387957996688783,1,52,1056.7230000160635,0.28070801636204123
large,text,101,28.572707960847765,40.168458013795316,103,0,2170.218415965792,0.4213330103084445
large,text,101,22.69499999238178,35.00341699691489,1,102,1226.6460839891806,0.49554096767678857
large,text,101,21.517874964047223,34.83191697159782,1,102,1264.3875000067055,0.2917080419138074
large,text,101,20.61166596831754,33.38962502311915,1,102,1151.756084000226,0.3007499617524445
large,text,101,20.92512499075383,33.54966704500839,1,102,1141.4792080176994,0.3222499508410692
large,text,101,20.691624958999455,39.76862505078316,1,102,1152.6398340356536,0.26004103710874915
large,text,101,20.940333022736013,33.07887498522177,1,102,1143.5207499889657,0.2672499977052212
large,text,101,21.604958979878575,34.39487505238503,1,102,1233.0088330199942,0.34141598735004663
large,text,101,20.57891699951142,38.39770902413875,1,102,1124.622083036229,0.2734169829636812
large,text,101,20.623625023290515,32.72283304249868,1,102,1097.4447919870727,0.2680000034160912
large,formula,101,20.648000005166978,33.1109999679029,1,102,1125.0422919983976,0.3409170312806964
large,formula,101,21.473625034559518,33.73237495543435,1,102,1132.8067079884931,0.2766670077107847
large,formula,101,20.819124998524785,32.99854102078825,1,102,1118.2762499665841,0.2883749548345804
large,table,101,27.543208037968725,33.63274998264387,1,102,1107.0122920209542,0.2746249665506184
large,table,101,20.521833037491888,32.97504101647064,1,102,1107.4753330321983,0.2685420331545174
